time,L_arm_shoulder_pitch_joint,L_arm_shoulder_roll_joint,L_arm_shoulder_yaw_joint,L_arm_elbow_joint,L_leg_hip_yaw_joint,L_leg_hip_roll_joint,L_leg_hip_pitch_joint,L_leg_knee_joint,L_leg_ankle_joint,R_arm_shoulder_pitch_joint,R_arm_shoulder_roll_joint,R_arm_shoulder_yaw_joint,R_arm_elbow_joint,R_leg_hip_yaw_joint,R_leg_hip_roll_joint,R_leg_hip_pitch_joint,R_leg_knee_joint,R_leg_ankle_joint
1.5687,-0.329070,0.214456,-0.379974,-0.317707,0.356932,-0.055458,-0.606514,1.861372,-0.307592,-0.056756,-0.115377,0.017316,-0.506338,0.169909,0.108410,-0.823579,1.004871,-0.331093
1.6020,-0.261022,0.274804,-0.335595,-0.305208,0.416823,-0.042142,-0.765909,2.000993,-0.352097,-0.095307,-0.104992,0.037976,-0.544981,0.175538,0.173143,-0.752604,0.983261,-0.383393
1.6354,-0.180053,0.326968,-0.275649,-0.307574,0.420673,-0.043867,-0.893522,2.056169,-0.349688,-0.127911,-0.112569,0.064921,-0.568720,0.162961,0.222050,-0.660109,0.955008,-0.425692
1.6688,-0.092234,0.368417,-0.215563,-0.328589,0.388490,-0.073423,-0.984606,2.026654,-0.327408,-0.151608,-0.133048,0.081633,-0.594605,0.132234,0.253566,-0.555718,0.914030,-0.456609
1.7022,-0.007922,0.394791,-0.129810,-0.357248,0.326624,-0.099741,-1.048449,1.925569,-0.310267,-0.167784,-0.165847,0.086414,-0.626243,0.082186,0.280455,-0.447598,0.862376,-0.478298
1.7355,0.067222,0.411155,-0.029489,-0.397021,0.277367,-0.124823,-1.086470,1.773899,-0.286182,-0.186704,-0.201095,0.091850,-0.657624,0.028717,0.304130,-0.352736,0.818159,-0.498166
1.7689,0.132585,0.425503,0.082463,-0.431926,0.251561,-0.151591,-1.098796,1.567967,-0.254451,-0.209667,-0.226009,0.096329,-0.687107,-0.010747,0.326145,-0.267089,0.762974,-0.504469
1.8023,0.179910,0.444999,0.153797,-0.451231,0.236429,-0.192985,-1.075885,1.303736,-0.214711,-0.236613,-0.247247,0.115765,-0.709415,-0.042276,0.355914,-0.179345,0.691925,-0.502751
1.8357,0.211927,0.456482,0.212337,-0.458840,0.210652,-0.281158,-1.014454,0.976406,-0.144405,-0.261197,-0.264632,0.120503,-0.729998,-0.075389,0.382641,-0.101402,0.610877,-0.491818
1.8690,0.219521,0.493787,0.230333,-0.444325,0.207105,-0.385232,-1.098894,0.932552,-0.180540,-0.265207,-0.268743,0.120422,-0.747302,-0.085425,0.421149,-0.066028,0.653260,-0.546228
