time,L_arm_shoulder_pitch_joint,L_arm_shoulder_roll_joint,L_arm_shoulder_yaw_joint,L_arm_elbow_joint,L_leg_hip_yaw_joint,L_leg_hip_roll_joint,L_leg_hip_pitch_joint,L_leg_knee_joint,L_leg_ankle_joint,R_arm_shoulder_pitch_joint,R_arm_shoulder_roll_joint,R_arm_shoulder_yaw_joint,R_arm_elbow_joint,R_leg_hip_yaw_joint,R_leg_hip_roll_joint,R_leg_hip_pitch_joint,R_leg_knee_joint,R_leg_ankle_joint
1.9024,-0.027890,0.355897,-0.256624,-1.800000,0.256717,0.005822,-0.825214,1.033493,-0.347293,-1.133697,-0.975634,0.281130,-1.167917,-0.743955,0.617081,0.092416,0.641385,-0.200271
1.9358,-0.041036,0.372527,-0.310930,-1.800000,0.247887,0.011769,-0.840769,1.053131,-0.350229,-1.000791,-0.969369,0.230871,-1.372412,-0.756243,0.616628,0.116258,0.606433,-0.199196
1.9692,-0.048733,0.395388,-0.322253,-1.800000,0.251542,-0.014179,-0.841902,1.055039,-0.344070,-0.877935,-0.904062,0.187269,-1.524875,-0.729063,0.606468,0.071459,0.606503,-0.183022
2.0025,-0.042401,0.412649,-0.316714,-1.800000,0.269882,-0.059397,-0.829931,1.039596,-0.331182,-0.793877,-0.791661,0.194200,-1.621275,-0.666622,0.589219,-0.022827,0.623889,-0.155742
2.0359,-0.041041,0.433420,-0.299085,-1.800000,0.293152,-0.117071,-0.819366,1.010373,-0.315234,-0.728729,-0.686512,0.247652,-1.668858,-0.590684,0.573284,-0.147717,0.654283,-0.122195
2.0693,-0.042427,0.460649,-0.296071,-1.800000,0.317371,-0.171938,-0.800761,0.987991,-0.312409,-0.655916,-0.600490,0.305684,-1.668905,-0.532383,0.556798,-0.249762,0.687620,-0.102428
2.1027,-0.047186,0.485547,-0.293869,-1.800000,0.339580,-0.232905,-0.778580,0.956201,-0.309074,-0.580373,-0.531911,0.354193,-1.651720,-0.470765,0.531866,-0.363980,0.729947,-0.089521
2.1360,-0.057523,0.522930,-0.304304,-1.800000,0.365867,-0.276307,-0.767451,0.942733,-0.313009,-0.492315,-0.474262,0.392176,-1.619257,-0.395865,0.482696,-0.464963,0.787595,-0.113337
2.1694,-0.071780,0.557127,-0.321778,-1.800000,0.391530,-0.318450,-0.765567,0.937381,-0.312342,-0.403101,-0.430212,0.423759,-1.589831,-0.313161,0.418313,-0.561601,0.872744,-0.166057
2.2028,-0.078406,0.580672,-0.336651,-1.800000,0.407225,-0.349887,-0.765939,0.981696,-0.339218,-0.312630,-0.412905,0.432829,-1.566919,-0.287595,0.369142,-0.604575,0.984414,-0.233222
2.2362,-0.088219,0.551058,-0.357029,-1.800000,0.402805,-0.400419,-0.693147,0.937697,-0.331697,-0.217874,-0.420827,0.451804,-1.546997,-0.299902,0.311239,-0.645635,1.113901,-0.272129
2.2696,-0.117546,0.512200,-0.373330,-1.800000,0.379594,-0.451711,-0.654198,0.885492,-0.302079,-0.148137,-0.436967,0.455483,-1.539579,-0.313185,0.266147,-0.687688,1.207382,-0.293066
